S_t_actual,E_S_t,D_S_t,S_t_5,S_t_95,R,sigma2_formular,mu_formular,mu_estimate,Date,date,err
598.98,600.4125455264357,24.507565055967824,590.7676066415822,610.1734673227625,-0.0022060266453357,6.798073970617957e-05,-0.0022084635066292,-0.001316923732499,2016-9-26,14.0,0.0
605.96,597.6961893223692,28.66789487106638,587.2701133653546,608.2585525916932,-0.002143328120523,8.024489335456255e-05,-0.0021456283355706,-0.001449143825504,2016-9-27,15.0,-0.0023916416682288055
605.67,605.0671218631852,27.3549925725818,594.8802448242751,615.3824609172249,-0.0014734935256697,7.471594039527502e-05,-0.0014745801848428,-0.000984784974479,2016-9-28,16.0,0.013637551451631924
603.85,605.4796522888714,27.53454002965353,595.2595661028873,615.8289555322077,-0.0003142762744209,7.510388648178783e-05,-0.0003143256695586,-0.0007852423259914,2016-9-29,17.0,0.0009953904548924974
609.39,604.2388101658132,30.23705354487948,593.5323103775078,615.0875003397928,0.0006438853453891,8.281409362663552e-05,0.0006436781401595,-0.0008405695517521,2016-9-30,18.0,-0.00269877004036001
614.82,610.6447982904646,24.031229651560803,601.0925328515881,620.3088869351141,0.0020591054832941,6.444432450381502e-05,0.0020569884312559,0.0019625857346889,2016-10-1,19.0,0.008453026525191976
612.98,616.584364706653,24.616026736524336,606.9167042653917,626.3654661274534,0.0028697256215688,6.474688509553741e-05,0.0028656158197887,0.0032202901520802,2016-10-2,20.0,0.006790933459444259
611.85,614.8377900360512,23.41720544632713,605.4072659190396,624.3765372185563,0.0030307514699519,6.194418015449363e-05,0.0030261680012833,0.0035079829113559,2016-10-3,21.0,-0.005880069017998979
609.62,613.3188988005953,13.73291515297593,606.0873826613804,620.6140401083375,0.0024007498579641,3.650750176088949e-05,0.0023978726620555,0.0014753302483163,2016-10-4,22.0,-0.004883206727222644
607.18,611.0295217859478,13.760571741771404,603.7908793220852,618.3321564057813,0.0023121317967715,3.685565115064004e-05,0.0023094629331001,0.0014641317950923,2016-10-5,23.0,-0.006067548309758974
612.08,608.1824328008134,15.24059264650799,600.5663870906083,615.8696849396042,0.0016509647893763,4.12026515304935e-05,0.0016496034451566,0.0015289465163728,2016-10-6,24.0,-0.0063400009650316225
617.21,612.7002438872803,13.043843760818008,605.6517304197689,619.8092511166537,0.0010133379415766,3.474576970371894e-05,0.0010128248612714,0.0011313670802152,2016-10-7,25.0,0.006367741470374111
614.74,618.0409052602355,13.87769018196262,610.7712934102733,625.3743217959548,0.0013462277996718,3.633079142464426e-05,0.0013453224474766,0.0021142070028492,2016-10-8,26.0,0.007306680242899044
